dataset,budget,best_aic_method,best_aic,as_aic,best_f1_method,best_f1,as_f1
2wikimultihopqa,80,mmr,0.425,0.395,mmr,0.14095353430532231,0.11864714163594506
2wikimultihopqa,160,answer_survival,0.56,0.56,mmr,0.11652156477421487,0.10949195647928932
2wikimultihopqa,256,answer_survival,0.64,0.64,mmr,0.10699010362497205,0.09961414439629147
2wikimultihopqa,384,mmr,0.725,0.72,topk,0.09514931139516385,0.09112024327469015
2wikimultihopqa,512,mmr,0.745,0.74,topk,0.09539321383418824,0.09112024327469015
hotpotqa,80,mmr,0.52,0.475,answer_survival,0.06166961462552201,0.06166961462552201
hotpotqa,160,topk,0.625,0.625,mmr,0.05768827332507316,0.05504454683183754
hotpotqa,256,topk,0.72,0.72,mmr,0.055251267849524034,0.05337093271897333
hotpotqa,384,focused,0.81,0.8,mmr,0.05496356666182285,0.05327452182030004
hotpotqa,512,topk,0.855,0.85,focused,0.05085569065146887,0.05085569065146887
squad,80,mmr,0.93,0.905,mmr,0.1616612207108511,0.1588703532884047
squad,160,topk,0.985,0.985,mmr,0.1690402434968506,0.16875495821156533
squad,256,topk,0.985,0.985,mmr,0.1690402434968506,0.16875495821156533
squad,384,topk,0.985,0.985,mmr,0.1681706782794593,0.16788539299417402
squad,512,topk,0.985,0.985,mmr,0.1681706782794593,0.16788539299417402
triviaqa,80,answer_survival,0.525,0.525,topk,0.04810153685130465,0.046414158127161216
triviaqa,160,answer_survival,0.665,0.665,topk,0.048507227057186665,0.04367896787881307
triviaqa,256,answer_survival,0.725,0.725,focused,0.04634443064976202,0.038647776847622044
triviaqa,384,focused,0.775,0.77,topk,0.045204397678846694,0.04031843075511806
triviaqa,512,focused,0.81,0.805,topk,0.045204397678846694,0.04070279678271832
