dataset,budget,method,n,aic,f1,em,tokens
2wikimultihopqa,160,topk,200,0.515,0.11376163121582941,0.06,156.73
2wikimultihopqa,160,mmr,200,0.5,0.11652156477421487,0.06,156.975
2wikimultihopqa,160,focused,200,0.54,0.10815550519610628,0.06,156.83
2wikimultihopqa,160,answer_survival,200,0.56,0.10949195647928932,0.06,155.865
2wikimultihopqa,256,topk,200,0.625,0.10428488385355844,0.055,250.95
2wikimultihopqa,256,mmr,200,0.62,0.10699010362497205,0.055,250.635
2wikimultihopqa,256,focused,200,0.63,0.10228745348600925,0.055,250.96
2wikimultihopqa,256,answer_survival,200,0.64,0.09961414439629147,0.055,247.62
2wikimultihopqa,384,topk,200,0.71,0.09514931139516385,0.055,349.245
2wikimultihopqa,384,mmr,200,0.725,0.09338350145522116,0.055,349.265
2wikimultihopqa,384,focused,200,0.71,0.09315768822854378,0.055,349.22
2wikimultihopqa,384,answer_survival,200,0.72,0.09112024327469015,0.055,346.05
2wikimultihopqa,512,topk,200,0.74,0.09539321383418824,0.055,374.675
2wikimultihopqa,512,mmr,200,0.745,0.09174993122110743,0.055,374.93
2wikimultihopqa,512,focused,200,0.74,0.09315768822854378,0.055,374.675
2wikimultihopqa,512,answer_survival,200,0.74,0.09112024327469015,0.055,374.265
2wikimultihopqa,80,topk,200,0.405,0.12691925504343296,0.065,77.015
2wikimultihopqa,80,mmr,200,0.425,0.14095353430532231,0.07,77.125
2wikimultihopqa,80,focused,200,0.4,0.1221690403537591,0.065,76.97
2wikimultihopqa,80,answer_survival,200,0.395,0.11864714163594506,0.065,76.825
hotpotqa,160,topk,200,0.625,0.055468754373545544,0.005,155.705
hotpotqa,160,mmr,200,0.625,0.05768827332507316,0.005,155.935
hotpotqa,160,focused,200,0.62,0.049912893475608,0.005,155.575
hotpotqa,160,answer_survival,200,0.625,0.05504454683183754,0.005,155.255
hotpotqa,256,topk,200,0.72,0.052373220016598145,0.005,250.435
hotpotqa,256,mmr,200,0.715,0.055251267849524034,0.005,251.445
